,Spanish,English
1567,herido,injured
1568,maría,Maria
1569,seguramente,surely
1570,proyecto,project
1571,pared,pared
1572,sentí,I felt
1573,sospechoso,suspicious
1574,naturaleza,nature
1575,ésa,that
1576,silla,chair
1577,perdió,lost
1578,robert,robert
1579,policías,police
1580,arreglar,arrange
1581,sentado,seated
1582,papi,papi
1583,ideas,ideas
1584,obtener,obtain
1585,felices,happy
1586,señoría,lordship
1587,cantidad,amount
1588,bebe,baby
1589,mírame,Look at me
1590,chris,chris
1591,papa,table
1592,llorar,cry
1593,quedó,remained
1594,familiar,familiar
1595,desastre,disaster
1596,locos,locos
1597,escuche,listen
1598,quedarte,stay
1599,política,policy
1600,pedí,I asked
1601,sois,be
1602,nosotras,we
1603,will,will
1604,enfermedad,disease
1605,encontraron,They found
1606,colega,co-worker
1607,príncipe,Prince
1608,verde,green
1609,bajar,lower
1610,nervioso,highly strung
1611,vengo,come
1612,inspector,inspector
1613,sirve,it serves
1614,puertas,doors
1615,fuerzas,forces
1616,playa,playa
1617,cantar,sing
1618,déjeme,let me
1619,velocidad,speed
1620,total,total
1621,cabello,hair
1622,suficientemente,enough
1623,huellas,footprints
1624,haberte,have you
1625,debí,I should have
1626,unidad,unit
1627,estan,they are
1628,cuchillo,knife
1629,t,t
1630,oigan,hey
1631,quienes,who
1632,gana,enough
1633,tonterías,foolishness
1634,emergencia,emergency
1635,perfecta,perfect
1636,hable,I talked
1637,gustaba,liked
1638,lugares,places
1639,ryan,ryan
1640,show,show
1641,robo,robo
1642,permite,allows
1643,parque,park
1644,uds.,uds.
1645,roto,inside
1646,serie,series
1647,puse,half
1648,nuevas,new
1649,evidencia,evidence
1650,conocerte,know you
1651,estúpida,stupid
1652,preocupe,worry
1653,perdone,excuse me
1654,botella,bottle
1655,viento,wind
1656,mando,command
1657,extraña,strange
1658,historias,stories
1659,aquella,that
1660,tenéis,you have
1661,solos,solos
1662,apoyo,support
1663,bala,read
1664,verdadera,true
1665,tiro,number
1666,época,era
1667,puente,bridge
1668,olvídalo,forget it
1669,distancia,distance
1670,desea,want
1671,dejarlo,leave it
1672,pelear,fight
1673,pierna,leg
1674,echar,throw
1675,descanso,rest
1676,américa,America
1677,área,area
1678,orgulloso,proud
1679,datos,data
1680,espectáculo,show
1681,sube,goes up
1682,dejaste,you left
1683,acabas,you finish
1684,verá,will see
1685,magia,magic
1686,nacional,national
1687,universo,universe
1688,llevaba,wore
1689,necesitar,need
1690,nariz,nose
1691,aquellos,those
1692,clases,classes
1693,jake,jake
1694,casas,houses
1695,vergüenza,shame
1696,estarán,will be
1697,monstruo,monster
1698,princesa,Princess
1699,autobús,bus
1700,cuidar,to care
1701,ei,no
1702,huevos,eggs
1703,pocos,few
1704,podrás,you can
1705,enferma,sick
1706,paseo,walk
1707,detalles,details
1708,llamadas,calls
1709,belleza,beauty
1710,francia,France
1711,abierto,open
1712,viviendo,living
1713,envió,shipment
1714,puntos,points
1715,ministro,minister
1716,conducir,drive
1717,aceptar,accept
1718,borracho,drunk
1719,animal,animal
1720,caballos,horses
1721,trajo,brought
1722,contrato,contract
1723,viernes,Friday
1724,bobby,bobby
1725,martin,martin
1726,amy,amy
1727,bienvenidos,welcome
1728,ex,ex
1729,hechos,facts
1730,sociedad,society
1731,dra.,wear.
1732,tengan,have
1733,quede,stay
1734,inglaterra,England
1735,carga,charge
1736,diste,you gave
1737,puto,I think
1738,lleve,I carried
1739,presente,gift
1740,conocía,knew
1741,uso,use
1742,dedos,fingers
1743,oferta,offer
1744,sentía,felt
1745,proteger,protect
1746,daniel,daniel
1747,date,date
1748,hiciera,did
1749,hablé,I talked
1750,recibir,receive
1751,agradezco,I appreciate
1752,robar,steal
1753,enamorado,in love
1754,sepas,know
1755,oeste,west
1756,herida,wound
1757,despacio,slowly
1758,ayude,help
1759,supe,supe
1760,directamente,directly
1761,inmediato,immediate
1762,profesional,professional
1763,oscuro,dark
1764,mercado,Marketplace
1765,cerdo,pig
1766,tardes,afternoon
1767,líder,leader
1768,grave,grave
1769,llegué,I arrived
1770,jurado,jury
1771,casos,cases
1772,acuerdas,you agree
1773,ahi,oh
1774,desaparecido,missing
1775,debió,should have
1776,hubieras,would have
1777,últimamente,lately
1778,piedra,stone
1779,éramos,we were
1780,habló,speak
1781,charles,charles
1782,paga,pay
1783,secretos,secrets
1784,digamos,Let's say
1785,intención,intention
1786,humor,humor
1787,dura,dura
1788,dará,will give
1789,seguros,insurance
1790,leo,leo
1791,adam,adam
1792,and,and
1793,ángeles,angels
1794,querría,I would want
1795,cerrar,close
1796,conseguido,achieved
1797,peso,weight
1798,víctimas,victims
1799,asesinado,murdered
1800,humana,human
1801,directo,straight
1802,central,central
1803,termina,ends
1804,compañeros,companions
1805,escuchado,listened
1806,contento,happy
1807,llevan,They carry
1808,podré,I will be able
1809,oscuridad,darkness
1810,actuar,Act
1811,siga,follow
1812,llevado,carried
1813,comenzó,began
1814,regresa,came back
1815,privado,private
1816,mirada,look
1817,demonio,devil
1818,abierta,open
1819,kevin,kevin
1820,m,m
1821,llámame,call me
1822,siguen,they continue
1823,romper,break
1824,cambia,change
1825,fiscal,fiscal
1826,jardín,garden
1827,natural,natural
1828,gratis,free
1829,cuesta,costs
1830,amenaza,threat
1831,pon,pounds
1832,marca,brand
1833,comenzar,begin
1834,ponte,bridge
1835,medicina,medicine
1836,podremos,we will can
1837,tomé,Thomas
1838,preciosa,lovely
1839,sexual,sexual
1840,acceso,access
1841,necesidad,need
1842,dueño,owner
1843,merece,deserve
1844,rayos,good heavens
1845,d,d
1846,mintiendo,lying
1847,tantas,so many
1848,imagino,I imagine
1849,fantasma,ghost
1850,creerlo,believe it
1851,llamé,I called
1852,ponga,put
1853,brian,brian
1854,dé,god
1855,pollo,chicken
1856,varios,several
1857,efecto,effect
1858,felicidad,happiness
1859,espada,sword
1860,relaciones,relations
1861,entró,I enter
1862,resultado,result
1863,sombrero,sombrero
1864,menor,smaller
1865,recibido,received
1866,negra,black
1867,to,to
1868,habido,been
1869,limpio,clean
1870,china,china
1871,juegos,games
1872,correo,mail
1873,confía,trust
1874,video,video
1875,perfectamente,perfectly
1876,harán,they will
1877,teatro,theater
1878,dormido,asleep
1879,local,local
1880,quedado,left
1881,lástima,pity
1882,calles,streets
1883,créeme,believe me
1884,responsabilidad,responsibility
1885,búsqueda,search
1886,dedo,finger
1887,tonta,worn out
1888,recuerdos,memories
1889,razones,reasons
1890,escuchando,listening
1891,eric,eric
1892,elegir,choose
1893,amas,loves
1894,huele,smells
1895,almuerzo,lunch
1896,cien,hundred
1897,adn,dna
1898,tantos,so many
1899,pago,pay
1900,normalmente,normally
1901,mr,mr
1902,pastel,pastel
1903,bastardo,Bastard
1904,cinta,Love
1905,pasé,happens
1906,dígame,tell me
1907,anna,anna
1908,costa,costa
1909,levántate,Get up
1910,llamando,calling
1911,cerrado,closed
1912,interés,interest
1913,enfermera,nurse
1914,comienzo,beginning
1915,olvidé,forget
1916,fuese,was
1917,militar,military
1918,polvo,dust
1919,bella,bella
1920,quedo,stay
1921,kate,kate
1922,encontraste,by contrast
1923,voluntad,willpower
1924,varias,several
1925,teoría,theory
1926,roja,the day
1927,cuento,tale
1928,escenario,scenery
1929,diario,diary
1930,propiedad,property
1931,agujero,hole
1932,aspecto,aspect
1933,campamento,camp
1934,descansar,rest
1935,matarme,kill me
1936,metido,put
1937,quiso,wanted
1938,ángel,angel
1939,enviar,to send
1940,impresionante,awesome
1941,proceso,process
1942,intentado,tried
1943,mio,my
1944,fuente,fountain
1945,alcalde,mayor
1946,ocurrido,occurred
1947,malos,bad
1948,carretera,road
1949,desapareció,He disappeared
1950,desayuno,breakfast
1951,débil,weak
1952,roma,Rome
1953,sabido,known
1954,comienza,starts
1955,tambien,also
1956,intentarlo,try it
1957,miembro,member
1958,perdiendo,losing
1959,hayan,have
1960,fueras,you were
1961,resultados,results
1962,jerry,jerry
1963,mata,eye
1964,sr,sr
1965,valiente,brave
1966,deber,duty
1967,pecho,chest
1968,gustó,taste
1969,oyes,you hear
1970,thomas,thomas
1971,periódico,newspaper
1972,mami,mami
1973,piensan,they think
1974,washington,washington
1975,tv,tv
1976,cansada,tired
1977,limpiar,clean
1978,crear,create
1979,explicar,explain
1980,robado,stolen
1981,resolver,solve
1982,maté,mate
1983,guapo,handsome
1984,continuar,Continue
1985,sheriff,sheriff
1986,funcionar,work
1987,extra,extra
1988,primo,first
1989,manejar,drive
1990,primeros,first
1991,acto,act
1992,poniendo,putting up
1993,números,numbers
1994,kilómetros,kilometres
1995,andy,andy
1996,llevará,carry
1997,rachel,rachel
